ID,NAME,LAT,LNG,DESCRIPTION,IMAGE,USER
61,Place61,73.67753,157.40889,Description61,10,3
62,Place62,-16.06131,45.57829,Description62,9,3
63,Place63,-23.82933,-81.54399,Description63,9,3
64,Place64,-47.50887,-85.93144,Description64,9,3
65,Place65,-2.5453,135.731,Description65,9,3
66,Place66,13.1023,175.33257,Description66,10,4
67,Place67,75.57602,155.58363,Description67,,4
68,Place68,51.09818,-70.80438,Description68,10,4
69,Place69,0.33669,-47.36987,Description69,5,4
70,Place70,-40.89213,34.61943,Description70,,4
71,Place71,-8.43973,104.52425,Description71,,4
72,Place72,-42.42867,-21.03384,Description72,5,4
73,Place73,-2.56633,-85.76501,Description73,10,4
74,Place74,-55.18358,-33.90137,Description74,9,4
75,Place75,5.9499,100.55495,Description75,9,4
76,Place76,-60.92858,-128.20237,Description76,,4
77,Place77,-34.09928,-114.24914,Description77,10,4
78,Place78,15.4379,-63.6355,Description78,9,4
79,Place79,73.2118,12.44833,Description79,6,4
80,Place80,-74.87529,-35.5096,Description80,9,4
81,Place81,-39.78472,-111.46944,Description81,10,4
82,Place82,43.75235,-111.00633,Description82,9,4
83,Place83,-55.84412,-84.19635,Description83,6,4
84,Place84,-20.21224,-111.45865,Description84,,4
85,Place85,67.53972,148.47508,Description85,9,4
86,Place86,19.94438,141.25095,Description86,,4
87,Place87,63.41553,-152.28548,Description87,,4
88,Place88,27.61301,126.057,Description88,10,4
89,Place89,64.52194,89.13032,Description89,9,5
90,Place90,27.05706,81.00263,Description90,,5
91,Place91,58.49932,110.17355,Description91,,5
92,Place92,-48.27983,37.78179,Description92,5,5
93,Place93,22.81353,127.23372,Description93,9,5
94,Place94,48.55377,-68.7348,Description94,,5
95,Place95,69.21732,-173.20174,Description95,6,5
96,Place96,-68.1459,-76.29839,Description96,5,5
97,Place97,-37.59432,114.95634,Description97,9,5
98,Place98,7.5813,-118.82564,Description98,10,5
99,Place99,43.64372,-124.05748,Description99,6,5
100,Place100,-22.80941,107.73246,Description100,10,5
101,Place101,41.17486,-116.99227,Description101,6,5
102,Place102,-70.40831,-178.26752,Description102,,5
103,Place103,9.15173,18.63053,Description103,5,5
104,Place104,-5.2636,87.59027,Description104,10,5
105,Place105,-49.32415,-111.10915,Description105,9,5
106,Place106,33.63234,-106.06131,Description106,9,5
107,Place107,41.84396,25.56697,Description107,5,5
108,Place108,1.27065,51.5525,Description108,6,5
109,Place109,-35.67715,141.54116,Description109,5,5
110,Place110,-12.54262,-86.00711,Description110,9,5
111,Place111,-46.50458,12.66088,Description111,5,5
112,Place112,3.00483,-79.58196,Description112,9,5
113,Place113,11.91681,-123.84294,Description113,5,5
114,Place114,-75.6487,65.50774,Description114,9,5
115,Place115,41.30748,-42.38166,Description115,6,5
116,Place116,-16.53717,-10.70032,Description116,9,5
117,Place117,-79.17063,-97.55219,Description117,5,5
118,Place118,1.95165,73.52685,Description118,10,5
119,Place119,37.13253,74.70335,Description119,5,5
120,Place120,-4.61549,60.66859,Description120,5,5
121,Place121,24.92116,97.21483,Description121,,5
122,Place122,-44.32938,-76.25344,Description122,9,5
123,Place123,-15.8014,143.73237,Description123,5,5
124,Place124,-25.98547,-175.1519,Description124,,5
125,Place125,15.76189,58.62643,Description125,5,5
126,Place126,-33.26332,133.58794,Description126,,5
127,Place127,9.35694,154.6371,Description127,9,5
128,Place128,-10.61433,107.87066,Description128,9,5
129,Place129,58.21883,42.80761,Description129,5,5
130,Place130,8.06888,-94.04372,Description130,,5
131,Place131,73.42293,-166.05542,Description131,9,6
132,Place132,-9.27155,149.84889,Description132,6,6
133,Place133,26.44055,155.39549,Description133,5,6
134,Place134,-39.09935,158.21699,Description134,10,6
135,Place135,-8.10127,91.29595,Description135,,6
136,Place136,25.61825,-93.83907,Description136,6,6
137,Place137,15.35223,-98.6513,Description137,6,6
138,Place138,44.80952,71.89695,Description138,6,6
139,Place139,-56.70972,142.83189,Description139,5,6
140,Place140,-55.20794,40.36545,Description140,5,6
141,Place141,35.88552,-51.41515,Description141,10,6
142,Place142,45.00798,155.52779,Description142,9,6
143,Place143,45.47305,-58.95587,Description143,10,6
144,Place144,-61.47082,-108.16288,Description144,9,6
145,Place145,28.52308,-118.68148,Description145,9,6
146,Place146,-6.21669,168.49239,Description146,6,6
147,Place147,78.8935,-13.82902,Description147,9,6
148,Place148,16.23199,-79.52623,Description148,5,6
149,Place149,-52.36512,-58.32875,Description149,6,6
150,Place150,-13.39342,77.26888,Description150,9,6
151,Place151,25.49705,-46.12177,Description151,5,7
152,Place152,10.20838,163.25531,Description152,9,7
153,Place153,43.67536,150.7302,Description153,10,7
154,Place154,23.61029,-45.17431,Description154,9,7
155,Place155,-45.90123,139.12528,Description155,,7
156,Place156,-25.43626,42.89515,Description156,,7
157,Place157,-32.0333,-56.87919,Description157,6,7
158,Place158,-16.55844,69.56241,Description158,,7
159,Place159,55.42433,-64.68604,Description159,5,7
160,Place160,5.4183,80.98291,Description160,5,7
161,Place161,52.97685,-20.99252,Description161,6,7
162,Place162,2.09108,110.13934,Description162,5,7
163,Place163,6.37772,-95.18607,Description163,6,7
164,Place164,-17.52475,-156.09285,Description164,9,7
165,Place165,-66.67685,92.94588,Description165,5,7
166,Place166,15.44304,-15.06277,Description166,6,7
167,Place167,-28.13584,40.79623,Description167,6,7
168,Place168,68.63645,159.20393,Description168,5,7
169,Place169,4.26712,-102.35289,Description169,10,7
170,Place170,51.44635,148.79113,Description170,,7
171,Place171,-35.92988,-32.73888,Description171,9,7
172,Place172,63.97812,-175.22749,Description172,,7
173,Place173,-47.7847,110.42161,Description173,5,7
174,Place174,43.95764,-7.59761,Description174,,7
175,Place175,12.31464,-52.72181,Description175,,7
176,Place176,-29.92937,-160.27208,Description176,9,7
177,Place177,12.62551,-157.87299,Description177,10,7
178,Place178,2.44415,73.19845,Description178,10,7
179,Place179,-24.14883,-75.32531,Description179,10,7
180,Place180,24.95204,32.0576,Description180,6,7
181,Place181,41.5642,-0.48854,Description181,9,7
182,Place182,48.50541,55.1385,Description182,5,7
183,Place183,-1.30758,-178.43353,Description183,,7
184,Place184,41.11576,52.63115,Description184,,7
185,Place185,36.37291,-121.24919,Description185,9,7
186,Place186,-32.16481,3.57434,Description186,5,7
187,Place187,-59.73531,93.81669,Description187,5,7
188,Place188,-13.38495,111.99222,Description188,6,8
189,Place189,-9.60228,-157.7993,Description189,5,8
190,Place190,-65.19197,-106.40516,Description190,9,8
191,Place191,50.84361,-134.57168,Description191,10,8
192,Place192,16.54423,-26.14515,Description192,9,8
193,Place193,10.92944,-87.62202,Description193,5,8
194,Place194,-2.48665,48.66381,Description194,5,8
195,Place195,-71.30004,103.90136,Description195,,8
196,Place196,15.89753,166.74324,Description196,6,8
197,Place197,-18.91945,109.12972,Description197,5,8
198,Place198,40.1252,-103.31226,Description198,,8
199,Place199,6.17881,13.99795,Description199,6,8
200,Place200,29.25017,117.59404,Description200,,8
201,Place201,-22.1297,1.77081,Description201,,8
202,Place202,-65.66798,-150.15455,Description202,,8
203,Place203,3.02019,-169.02657,Description203,,8
204,Place204,58.18074,30.77543,Description204,9,8
205,Place205,62.28137,114.63608,Description205,,8
206,Place206,60.65033,-113.77975,Description206,9,8
207,Place207,16.27564,101.54186,Description207,5,8
208,Place208,19.99773,7.7159,Description208,10,8
209,Place209,1.43207,66.28722,Description209,6,8
210,Place210,-69.21267,-142.35447,Description210,6,8
211,Place211,-5.15214,-4.92976,Description211,9,8
212,Place212,-43.29324,-49.0205,Description212,5,8
213,Place213,48.6748,65.41324,Description213,6,8
214,Place214,-0.65507,-133.44286,Description214,5,8
215,Place215,-48.55776,5.85906,Description215,6,8
216,Place216,-36.58782,165.48777,Description216,5,8
217,Place217,-5.73498,52.5196,Description217,5,8
218,Place218,15.02684,128.46836,Description218,9,8
219,Place219,18.14764,92.96924,Description219,10,8
220,Place220,17.30015,-32.0533,Description220,,8
221,Place221,-3.44441,-149.76204,Description221,6,8
222,Place222,4.68599,-60.00591,Description222,9,8
223,Place223,11.89021,18.87558,Description223,9,8
224,Place224,-72.36388,-32.70477,Description224,10,8
225,Place225,-22.44744,43.34652,Description225,6,8
226,Place226,-32.45634,113.19607,Description226,9,9
227,Place227,10.87837,-5.05702,Description227,,9
228,Place228,-39.86947,45.83497,Description228,,9
229,Place229,-24.81862,-148.4419,Description229,9,9
230,Place230,-29.60152,-102.39099,Description230,9,9
231,Place231,63.1593,-74.99253,Description231,6,9
232,Place232,-74.42705,-166.80761,Description232,6,9
233,Place233,-18.42437,-105.75003,Description233,9,9
234,Place234,58.80287,-150.45212,Description234,10,9
235,Place235,27.75434,-55.27959,Description235,6,9
236,Place236,-69.03936,-175.24413,Description236,,9
237,Place237,35.10177,-124.30479,Description237,,9
238,Place238,-49.01764,1.91607,Description238,10,9
239,Place239,4.9202,75.97167,Description239,9,9
240,Place240,-22.42693,156.33265,Description240,,9
241,Place241,25.01243,-47.79082,Description241,5,10
242,Place242,58.33906,-55.43461,Description242,2,10
243,Place243,-57.75289,-162.599,Description243,,10
244,Place244,1.05205,-137.20282,Description244,6,10
245,Place245,4.65366,-128.38001,Description245,6,10
246,Place246,-28.31181,-147.46295,Description246,2,10
247,Place247,14.4879,-90.81875,Description247,6,10
248,Place248,-57.22051,-74.81958,Description248,2,10
249,Place249,-26.82273,-67.50174,Description249,10,10
250,Place250,0.24268,17.16882,Description250,10,10
251,Place251,35.63415,56.85096,Description251,6,10
252,Place252,-25.38307,-90.38,Description252,,10
253,Place253,2.31322,115.17029,Description253,2,10
254,Place254,12.24705,131.15168,Description254,,10
255,Place255,-39.84165,76.13113,Description255,,10
256,Place256,37.05477,102.16944,Description256,6,10
257,Place257,-38.33548,103.02395,Description257,5,10
258,Place258,-33.89421,51.73059,Description258,10,10
259,Place259,37.22195,160.42736,Description259,5,11
260,Place260,71.54209,-51.93657,Description260,10,11
261,Place261,-57.05437,-126.01078,Description261,10,11
262,Place262,-86.39051,-5.13266,Description262,9,11
263,Place263,5.70305,-126.66215,Description263,5,11
264,Place264,-69.37365,58.80862,Description264,9,11
265,Place265,32.72108,57.95514,Description265,10,11
266,Place266,-15.68527,-28.29024,Description266,10,11
267,Place267,-18.97671,16.45762,Description267,10,11
268,Place268,23.20864,-155.93204,Description268,10,11
269,Place269,-44.35954,107.6955,Description269,5,11
270,Place270,27.38846,146.88369,Description270,,11
271,Place271,0.07259,59.16535,Description271,,11
272,Place272,40.89832,174.02668,Description272,5,11
273,Place273,24.644,74.72368,Description273,5,11
274,Place274,78.03892,-57.73936,Description274,,11
275,Place275,-4.8799,-87.5932,Description275,9,11
276,Place276,-6.47906,131.1264,Description276,5,11
277,Place277,-7.82271,175.33536,Description277,10,11
278,Place278,33.99694,-111.4322,Description278,10,11
279,Place279,-9.71799,124.42985,Description279,5,11
280,Place280,47.80974,9.42028,Description280,6,11
281,Place281,19.19459,143.39443,Description281,6,11
282,Place282,16.06452,50.67619,Description282,10,11
283,Place283,70.53477,-121.32802,Description283,10,11
284,Place284,-43.77661,-140.88313,Description284,6,11
285,Place285,-36.20056,-21.51593,Description285,5,11
286,Place286,-23.63966,158.54054,Description286,5,11
287,Place287,12.78844,125.24407,Description287,5,11
288,Place288,45.23726,-27.51679,Description288,6,11
289,Place289,55.64638,-131.34562,Description289,,11
290,Place290,52.33969,6.52803,Description290,10,11
291,Place291,-8.30292,55.57435,Description291,6,11
292,Place292,-29.93366,151.63511,Description292,6,11
293,Place293,52.8922,-51.89157,Description293,6,11
294,Place294,-74.156,-109.60331,Description294,6,11
295,Place295,20.69123,105.03414,Description295,,11
296,Place296,-11.36006,-21.5866,Description296,5,11
297,Place297,26.24165,-77.0024,Description297,9,11
298,Place298,-8.11367,-38.02663,Description298,9,11
299,Place299,39.28759,-73.22489,Description299,6,11
300,Place300,52.70918,173.62663,Description300,5,11
301,Place301,-51.77374,-44.79131,Description301,10,11
302,Place302,-26.8414,31.59965,Description302,9,12
303,Place303,-2.23569,92.47184,Description303,5,12
304,Place304,9.23487,62.98593,Description304,10,12
305,Place305,41.95288,-51.23557,Description305,9,12
306,Place306,-2.18795,-166.01332,Description306,6,12
307,Place307,17.89795,103.97395,Description307,6,12
308,Place308,-61.89272,55.40897,Description308,5,12
309,Place309,-53.481,21.85628,Description309,9,12
310,Place310,-17.51596,-68.83211,Description310,9,12
311,Place311,-53.9423,-57.21502,Description311,,12
312,Place312,-1.20279,120.19656,Description312,,12
313,Place313,44.69736,-145.43108,Description313,6,12
314,Place314,-53.65635,67.97956,Description314,,12
315,Place315,43.88759,-68.09965,Description315,5,12
316,Place316,2.28832,-80.14649,Description316,10,12
317,Place317,5.30786,-46.98796,Description317,10,12
318,Place318,27.03168,-76.83408,Description318,6,12
319,Place319,-1.00783,-141.97542,Description319,,12
320,Place320,-39.90666,-30.67547,Description320,10,12
321,Place321,-12.88342,-12.04816,Description321,6,12
322,Place322,-19.81102,10.7455,Description322,9,12
323,Place323,55.6184,47.13304,Description323,,12
324,Place324,-21.01983,-163.18358,Description324,6,12
325,Place325,-48.24368,-158.0484,Description325,10,12
326,Place326,-52.90356,-139.82103,Description326,10,12
327,Place327,-11.56488,-1.2288,Description327,6,12
328,Place328,31.10259,112.0222,Description328,6,12
329,Place329,-58.42841,89.65453,Description329,,12
330,Place330,21.98658,-119.75666,Description330,9,13
331,Place331,-82.36194,-3.19354,Description331,6,13
332,Place332,-5.77143,-63.32967,Description332,5,13
333,Place333,39.5118,-54.57142,Description333,,13
334,Place334,-42.13846,-124.18416,Description334,5,13
335,Place335,-25.31713,-74.53536,Description335,10,13
336,Place336,-43.95262,-68.36949,Description336,5,13
337,Place337,1.00313,-75.56152,Description337,6,13
338,Place338,38.57082,6.9558,Description338,9,13
339,Place339,-7.1287,172.27487,Description339,5,13
340,Place340,-37.28668,115.28406,Description340,9,13
341,Place341,35.69372,161.43135,Description341,10,13
342,Place342,36.01431,-28.16049,Description342,10,13
343,Place343,-17.28219,93.40543,Description343,,13
344,Place344,-40.67,31.08816,Description344,,13
345,Place345,60.68568,109.87464,Description345,6,13
346,Place346,10.86071,77.93954,Description346,5,13
347,Place347,2.35304,21.80003,Description347,9,13
348,Place348,-3.04779,-134.79354,Description348,6,14
349,Place349,28.11212,-69.6873,Description349,10,14
350,Place350,50.22893,170.31667,Description350,10,14
351,Place351,13.6427,-172.05883,Description351,,14
352,Place352,-48.57106,48.71862,Description352,5,14
353,Place353,17.13308,-110.69106,Description353,10,14
354,Place354,-13.61935,38.26927,Description354,,14
355,Place355,17.76421,-123.66169,Description355,10,14
356,Place356,26.57652,-141.47046,Description356,10,14
357,Place357,-40.5332,95.3483,Description357,6,14
358,Place358,-57.98852,-16.62643,Description358,5,14
359,Place359,3.72858,-126.61986,Description359,,14
360,Place360,10.53441,167.61324,Description360,10,14
361,Place361,63.97309,-98.48723,Description361,,14
362,Place362,-51.49627,19.60195,Description362,5,14
363,Place363,47.47908,157.7237,Description363,10,14
364,Place364,14.11976,-140.68137,Description364,6,14
365,Place365,-53.86412,145.28296,Description365,10,14
366,Place366,-54.37536,126.2626,Description366,6,14
367,Place367,4.03332,81.49769,Description367,5,14
368,Place368,-71.27245,-178.29096,Description368,10,14
369,Place369,-19.9432,75.28137,Description369,9,14
370,Place370,56.3102,72.60744,Description370,10,14
371,Place371,-59.59943,-162.33205,Description371,5,14
372,Place372,-27.7489,40.58976,Description372,5,14
373,Place373,-30.23216,-52.06407,Description373,6,14
374,Place374,-56.16821,14.1717,Description374,,14
375,Place375,27.07989,-120.92347,Description375,5,14
376,Place376,-10.59376,163.41192,Description376,5,14
377,Place377,46.99013,-87.12039,Description377,9,14
378,Place378,44.72252,129.55227,Description378,5,14
379,Place379,-21.69641,123.12506,Description379,9,15
380,Place380,-57.04901,-100.1934,Description380,6,15
381,Place381,35.82765,-68.42286,Description381,5,15
382,Place382,-42.63863,41.95679,Description382,9,15
383,Place383,79.95501,19.09706,Description383,,15
384,Place384,-30.53928,-85.65706,Description384,9,15
385,Place385,-45.46941,-130.5027,Description385,6,15
386,Place386,10.21262,-52.07806,Description386,,15
387,Place387,6.1189,103.20032,Description387,9,15
388,Place388,-12.71046,138.8208,Description388,5,15
389,Place389,62.88637,7.06363,Description389,,15
390,Place390,14.57284,49.41331,Description390,10,15
391,Place391,-37.11742,-142.83015,Description391,9,15
392,Place392,58.26503,-6.78422,Description392,5,15
393,Place393,-46.91105,-140.52235,Description393,10,15
394,Place394,2.36007,-61.35814,Description394,5,15
395,Place395,27.70659,-130.20117,Description395,5,15
396,Place396,66.00329,35.92426,Description396,,16
397,Place397,-27.72207,161.42732,Description397,9,16
398,Place398,33.97475,-23.29682,Description398,,16
399,Place399,-7.15336,-83.55203,Description399,10,16
400,Place400,-33.71431,-148.37005,Description400,,16
401,Place401,43.84995,164.28299,Description401,10,16
402,Place402,4.03537,-79.23653,Description402,6,16
403,Place403,-7.71059,-4.66708,Description403,9,16
404,Place404,50.49931,59.66732,Description404,5,16
405,Place405,19.54466,161.51682,Description405,6,16
406,Place406,12.55893,159.5169,Description406,,16
407,Place407,-51.96783,-35.60556,Description407,9,16
408,Place408,55.7872,-31.71823,Description408,10,16
409,Place409,-5.99499,129.82488,Description409,5,16
410,Place410,28.75678,-53.58411,Description410,10,16
411,Place411,-48.3959,79.44845,Description411,10,16
412,Place412,-69.59616,-179.89225,Description412,9,16
413,Place413,-18.89568,-12.83222,Description413,9,16
414,Place414,-5.02459,-177.93125,Description414,,16
415,Place415,13.73943,62.25369,Description415,10,16
416,Place416,-18.98553,-159.69833,Description416,5,16
417,Place417,18.01632,-54.05273,Description417,10,16
418,Place418,6.47425,22.70295,Description418,,16
419,Place419,-11.49517,144.20669,Description419,5,16
420,Place420,48.83647,123.41685,Description420,10,16
421,Place421,14.83016,-138.57888,Description421,,16
422,Place422,51.91923,-19.41077,Description422,5,16
423,Place423,6.27052,-171.15151,Description423,6,16
424,Place424,-48.0953,115.86084,Description424,9,16
425,Place425,16.73769,-21.65005,Description425,10,16
426,Place426,55.75143,37.93177,Description426,6,16
427,Place427,54.44734,-121.17724,Description427,6,16
428,Place428,64.83812,106.04622,Description428,10,16
429,Place429,-17.73828,-80.04587,Description429,6,16
430,Place430,4.32312,110.68793,Description430,9,16
431,Place431,-28.39776,-113.41469,Description431,5,16
432,Place432,-51.2747,22.47963,Description432,9,16
433,Place433,66.00848,-16.75403,Description433,6,16
434,Place434,-80.16014,-91.58635,Description434,10,17
435,Place435,46.6711,-114.06847,Description435,10,17
436,Place436,7.2534,34.5157,Description436,10,17
437,Place437,-48.09817,129.66679,Description437,9,17
438,Place438,9.9614,31.3702,Description438,,17
439,Place439,13.39781,20.56469,Description439,5,17
440,Place440,-14.87052,-173.19022,Description440,6,18
441,Place441,65.58246,-74.5904,Description441,5,18
442,Place442,7.65826,165.90239,Description442,,18
443,Place443,29.43447,129.54899,Description443,10,18
444,Place444,2.83744,168.91492,Description444,,18
445,Place445,-12.66458,34.03295,Description445,5,18
446,Place446,53.91497,102.57404,Description446,5,18
447,Place447,23.34943,176.54837,Description447,,18
448,Place448,-11.3294,-138.5423,Description448,5,18
449,Place449,-49.90079,74.2751,Description449,5,18
450,Place450,19.17545,-125.68159,Description450,9,18
451,Place451,6.18869,175.1847,Description451,10,18
452,Place452,53.36406,70.82663,Description452,6,18
453,Place453,-19.62804,1.40353,Description453,5,18
454,Place454,12.48294,177.88668,Description454,5,18
455,Place455,-5.34614,168.60182,Description455,,18
456,Place456,4.87234,77.76504,Description456,6,18
457,Place457,-43.09551,-176.98722,Description457,9,18
458,Place458,69.9571,87.95786,Description458,6,18
459,Place459,-46.93482,106.6564,Description459,5,18
460,Place460,-14.07672,6.51883,Description460,9,18
461,Place461,-42.58633,-59.70465,Description461,6,18
462,Place462,3.3794,-147.95638,Description462,,18
463,Place463,41.47943,-164.50088,Description463,10,18
464,Place464,66.77521,-18.27675,Description464,6,18
465,Place465,37.46749,33.08086,Description465,10,18
466,Place466,-26.55153,-131.04682,Description466,,18
467,Place467,-1.42793,-118.28926,Description467,,18
468,Place468,-56.67255,169.92711,Description468,5,18
469,Place469,-30.66444,121.12042,Description469,,18
470,Place470,51.95626,-155.38034,Description470,9,18
471,Place471,-13.57271,-63.28979,Description471,6,18
472,Place472,75.68708,48.7375,Description472,,18
473,Place473,22.60435,20.59781,Description473,10,18
474,Place474,14.87097,-135.01359,Description474,5,18
475,Place475,-52.15633,-83.4813,Description475,10,18
476,Place476,-33.54845,174.54042,Description476,,18
477,Place477,-44.965,-103.8921,Description477,10,18
478,Place478,52.29878,130.35437,Description478,9,18
479,Place479,15.74631,88.60498,Description479,6,18
480,Place480,5.39308,166.59225,Description480,,18
481,Place481,17.15503,-163.04765,Description481,6,18
482,Place482,-42.6515,-40.94571,Description482,,18
483,Place483,-43.55603,0.49292,Description483,5,18
484,Place484,-31.2477,60.81721,Description484,10,18
485,Place485,-20.57537,108.39277,Description485,9,18
486,Place486,-73.02202,-66.10019,Description486,5,18
487,Place487,-61.21313,167.49998,Description487,6,19
488,Place488,31.36212,-172.49672,Description488,5,19
489,Place489,41.6309,-36.99428,Description489,1,19
490,Place490,6.70328,-29.27234,Description490,9,19
491,Place491,-11.76852,-156.20123,Description491,9,19
492,Place492,-18.3548,110.94719,Description492,1,19
493,Place493,18.4092,83.41372,Description493,6,19
494,Place494,-63.27145,-79.67914,Description494,9,19
495,Place495,-27.92034,155.64139,Description495,6,19
496,Place496,39.10338,32.62999,Description496,6,19
497,Place497,-51.29674,-12.84369,Description497,6,19
498,Place498,-23.22197,-122.4172,Description498,10,19
499,Place499,0.40378,120.17974,Description499,,19
500,Place500,30.36754,129.36873,Description500,6,19
501,Place501,-40.77771,-15.21234,Description501,10,19
502,Place502,77.97304,76.98674,Description502,9,19
503,Place503,-69.39013,-110.45002,Description503,9,19
504,Place504,-9.07283,134.94376,Description504,6,19
505,Place505,-43.25643,-57.49614,Description505,10,19
506,Place506,12.72544,-55.61185,Description506,6,19
507,Place507,33.71158,-153.88903,Description507,6,19
508,Place508,28.71963,170.54724,Description508,6,19
509,Place509,50.23038,-137.45318,Description509,6,19
510,Place510,52.11311,117.67431,Description510,5,19
511,Place511,-39.30933,-71.4593,Description511,5,19
512,Place512,-36.80679,82.08205,Description512,9,19
513,Place513,-16.35199,130.23052,Description513,9,19
514,Place514,20.8715,-106.32281,Description514,,19
515,Place515,-32.12226,-144.66373,Description515,1,19
516,Place516,40.55331,-9.49663,Description516,6,19
517,Place517,-62.77043,82.05552,Description517,9,19
518,Place518,39.04029,37.27556,Description518,10,19
519,Place519,18.00903,160.65921,Description519,,19
520,Place520,-84.52772,-154.1514,Description520,9,19
521,Place521,-51.28394,-7.88099,Description521,,19
522,Place522,26.6747,-37.8251,Description522,10,19
523,Place523,-11.34643,-149.21072,Description523,,19
524,Place524,-53.90364,-84.30452,Description524,,19
525,Place525,48.63266,-3.06339,Description525,10,19
526,Place526,27.19822,7.17557,Description526,9,19
527,Place527,-8.85357,-101.51134,Description527,,19
528,Place528,-70.96044,58.75617,Description528,,19
529,Place529,-35.38514,-4.59815,Description529,9,20
530,Place530,-69.43595,54.34623,Description530,9,20
531,Place531,-2.95922,53.43297,Description531,5,20
532,Place532,-11.79278,-22.25931,Description532,10,20
533,Place533,-52.42561,133.73607,Description533,,20
534,Place534,79.72121,66.04939,Description534,5,20
535,Place535,-70.80535,172.57444,Description535,10,20
536,Place536,28.20627,152.99385,Description536,10,20
537,Place537,36.90317,100.14591,Description537,5,20
538,Place538,78.58606,-42.17406,Description538,10,20
539,Place539,11.17077,153.24774,Description539,10,20
540,Place540,-58.52771,58.30754,Description540,6,20
541,Place541,19.12992,32.73626,Description541,5,20
542,Place542,22.3175,-68.27873,Description542,10,20
543,Place543,23.88511,36.65969,Description543,9,20
544,Place544,16.18318,-29.44052,Description544,6,20
545,Place545,-54.63815,103.31869,Description545,10,20
546,Place546,-37.98417,-1.768,Description546,10,20
547,Place547,-38.5606,72.40777,Description547,10,20
548,Place548,-27.34566,94.87421,Description548,,20
549,Place549,-73.49907,142.54464,Description549,9,20
550,Place550,-16.27355,-174.66772,Description550,10,20
551,Place551,-20.44194,-62.57865,Description551,9,20
552,Place552,-9.26679,-105.73933,Description552,9,20
553,Place553,-5.92469,-147.48785,Description553,5,20
554,Place554,-47.2717,-89.22256,Description554,9,20
555,Place555,39.68664,173.89096,Description555,10,20
556,Place556,-33.71006,-19.98947,Description556,,20
557,Place557,44.02379,-102.04851,Description557,,20
558,Place558,-71.0952,-88.788,Description558,5,20
559,Place559,-29.02322,165.4127,Description559,9,20
560,Place560,44.87503,143.30869,Description560,10,20
561,Place561,68.01274,-29.2186,Description561,,20
562,Place562,56.71047,59.11773,Description562,6,20
